trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.22592939782200552, 'e': 0.47199999999999953}",20,14,8.12158975459662,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.22457382143507348, 'e': 0.4679999999999995}",20,0,-62.19670850506177,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
134,False,"{'a': 0.22322637850646304, 'e': 0.4639999999999995}",25,0,18.669581859395343,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.22188702023542425, 'e': 0.4599999999999995}",20,0,-23.38802999401438,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
136,False,"{'a': 0.2205556981140117, 'e': 0.4559999999999995}",25,0,-151.7783615716346,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
137,False,"{'a': 0.21923236392532763, 'e': 0.4519999999999995}",20,0,-4.57051478537568,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.21791696974177566, 'e': 0.4479999999999995}",20,7,-7.334902836973933,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.216609467923325, 'e': 0.4439999999999995}",20,3,-26.818824225587008,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 0}",1
140,False,"{'a': 0.21530981111578504, 'e': 0.4399999999999995}",20,12,0.737456599575224,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.21401795224909032, 'e': 0.4359999999999995}",25,0,-21.363069521977952,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",1
142,False,"{'a': 0.21273384453559577, 'e': 0.4319999999999995}",20,3,-23.97695547524417,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
143,False,"{'a': 0.2114574414683822, 'e': 0.4279999999999995}",30,22,2.484868480177722,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.2101886968195719, 'e': 0.4239999999999995}",20,0,-24.588463329158436,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
145,False,"{'a': 0.20892756463865444, 'e': 0.4199999999999995}",30,13,-39.768973739952585,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
146,False,"{'a': 0.20767399925082253, 'e': 0.4159999999999995}",20,15,1.7535824977914292,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.2064279552553176, 'e': 0.4119999999999995}",25,16,-43.56413293666161,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.20518938752378568, 'e': 0.4079999999999995}",20,4,5.791395228482274,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.20395825119864297, 'e': 0.40399999999999947}",20,10,8.48659188574263,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.2027345016914511, 'e': 0.39999999999999947}",25,14,8.670571054769198,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.20151809468130238, 'e': 0.39599999999999946}",20,13,-26.775091548623667,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.20030898611321457, 'e': 0.39199999999999946}",30,0,-68.18893607489889,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
153,False,"{'a': 0.19910713219653528, 'e': 0.38799999999999946}",20,8,-10.812546762223306,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.19791248940335607, 'e': 0.38399999999999945}",20,0,-98.81223621041532,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",1
155,False,"{'a': 0.19672501446693594, 'e': 0.37999999999999945}",20,6,-2.5467309873592,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.19554466438013432, 'e': 0.37599999999999945}",20,11,-1.9697522672342362,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 0.1943713963938535, 'e': 0.37199999999999944}",35,0,-124.97793539949573,"{0: 26, 1: 4, 2: 2, 3: 0, 4: 3}",1
158,False,"{'a': 0.1932051680154904, 'e': 0.36799999999999944}",20,9,-6.806319424556971,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.19204593700739744, 'e': 0.36399999999999944}",20,2,10.060663983541492,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.19089366138535305, 'e': 0.35999999999999943}",30,15,-17.215506329443812,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
161,False,"{'a': 0.18974829941704094, 'e': 0.35599999999999943}",30,5,-41.76118128133071,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",1
162,False,"{'a': 0.1886098096205387, 'e': 0.3519999999999994}",25,15,-8.104087111910442,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.18747815076281546, 'e': 0.3479999999999994}",20,16,8.946168627969513,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.18635328185823857, 'e': 0.3439999999999994}",30,15,-27.69487817679512,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.18523516216708913, 'e': 0.3399999999999994}",25,2,6.877992043470863,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 0}",1
166,False,"{'a': 0.18412375119408658, 'e': 0.3359999999999994}",20,15,3.4416548157484366,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.18301900868692206, 'e': 0.3319999999999994}",25,0,31.696994091115137,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.18192089463480052, 'e': 0.3279999999999994}",25,0,8.099281387640406,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.18082936926699172, 'e': 0.3239999999999994}",20,3,1.4044626134480125,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.17974439305138978, 'e': 0.3199999999999994}",20,2,15.072390973308375,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.17866592669308146, 'e': 0.3159999999999994}",30,11,-41.0135968855493,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 0}",1
172,False,"{'a': 0.17759393113292296, 'e': 0.3119999999999994}",20,12,3.963339233367531,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.17652836754612541, 'e': 0.3079999999999994}",20,13,-4.1148924947724534,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.17546919734084865, 'e': 0.3039999999999994}",30,12,-4.049101261498327,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
175,False,"{'a': 0.17441638215680355, 'e': 0.2999999999999994}",20,0,26.13076385389516,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.17336988386386273, 'e': 0.2959999999999994}",25,14,-1.8282811098982528,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.17232966456067955, 'e': 0.29199999999999937}",25,7,7.1774885623185725,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.17129568657331548, 'e': 0.28799999999999937}",25,7,-0.1779882429743671,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
179,False,"{'a': 0.1702679124538756, 'e': 0.28399999999999936}",20,11,10.634495312424033,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.16924630497915236, 'e': 0.27999999999999936}",30,3,-38.65146082618285,"{0: 21, 1: 4, 2: 1, 3: 0, 4: 1}",1
181,False,"{'a': 0.16823082714927745, 'e': 0.27599999999999936}",20,3,-23.731420825775203,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 0}",1
182,False,"{'a': 0.1672214421863818, 'e': 0.27199999999999935}",20,2,-6.352006258356916,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
183,False,"{'a': 0.16621811353326352, 'e': 0.26799999999999935}",20,11,-6.825883894070925,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
184,False,"{'a': 0.16522080485206395, 'e': 0.26399999999999935}",20,14,2.5230986976480008,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.16422948002295157, 'e': 0.25999999999999934}",25,11,6.88732646415536,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.16324410314281385, 'e': 0.25599999999999934}",30,12,2.4294475571108345,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.16226463852395695, 'e': 0.25199999999999934}",20,5,-15.273587942897663,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
188,False,"{'a': 0.16129105069281321, 'e': 0.24799999999999933}",20,0,8.951796867765953,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
189,False,"{'a': 0.16032330438865633, 'e': 0.24399999999999933}",20,0,-66.02877371554804,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
190,False,"{'a': 0.1593613645623244, 'e': 0.23999999999999932}",25,3,-4.803336235814266,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
191,False,"{'a': 0.15840519637495043, 'e': 0.23599999999999932}",25,20,11.787762703631174,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.15745476519670074, 'e': 0.23199999999999932}",25,10,-12.472013158204481,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
193,False,"{'a': 0.15651003660552054, 'e': 0.22799999999999931}",30,21,-67.97178921520404,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
194,False,"{'a': 0.1555709763858874, 'e': 0.2239999999999993}",20,8,22.292023219745356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.15463755052757208, 'e': 0.2199999999999993}",20,1,-12.24620623087339,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
196,False,"{'a': 0.15370972522440665, 'e': 0.2159999999999993}",20,6,29.961051584544382,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.15278746687306022, 'e': 0.2119999999999993}",20,10,16.91312333620296,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.15187074207182186, 'e': 0.2079999999999993}",20,11,14.547331270172908,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.15095951761939091, 'e': 0.2039999999999993}",20,12,7.734400166229069,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.15005376051367456, 'e': 0.1999999999999993}",20,1,-43.21214222937977,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 0}",1
201,False,"{'a': 0.14915343795059252, 'e': 0.19599999999999929}",25,0,10.97045977895686,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
202,False,"{'a': 0.14825851732288897, 'e': 0.19199999999999928}",30,17,15.263925962024482,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.14736896621895162, 'e': 0.18799999999999928}",25,12,8.61628221039532,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.14648475242163791, 'e': 0.18399999999999928}",20,16,8.81764115449933,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.1456058439071081, 'e': 0.17999999999999927}",25,9,26.727750860189445,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.14473220884366544, 'e': 0.17599999999999927}",25,14,9.303574752517864,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.14386381559060346, 'e': 0.17199999999999926}",30,18,13.581416294967466,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.14300063269705984, 'e': 0.16799999999999926}",20,10,8.740088699764913,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.14214262890087748, 'e': 0.16399999999999926}",20,5,23.61094451775318,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.1412897731274722, 'e': 0.15999999999999925}",30,19,19.024475511858594,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.14044203448870737, 'e': 0.15599999999999925}",20,15,9.213764248109458,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.13959938228177513, 'e': 0.15199999999999925}",25,16,-22.26328917282941,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
213,False,"{'a': 0.13876178598808447, 'e': 0.14799999999999924}",25,13,3.772963820550361,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
214,False,"{'a': 0.13792921527215596, 'e': 0.14399999999999924}",25,15,16.699739178277444,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.13710163998052302, 'e': 0.13999999999999924}",25,9,-36.54040769900348,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
216,False,"{'a': 0.13627903014063988, 'e': 0.13599999999999923}",20,0,15.826455257867607,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
217,False,"{'a': 0.13546135595979605, 'e': 0.13199999999999923}",20,10,8.711955074810696,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.13464858782403727, 'e': 0.12799999999999923}",30,17,25.57285314930611,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.13384069629709305, 'e': 0.12399999999999922}",25,12,-60.07288400442202,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
220,False,"{'a': 0.13303765211931048, 'e': 0.11999999999999922}",30,21,13.809221039925232,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.13223942620659462, 'e': 0.11599999999999921}",20,7,25.79454884504441,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.13144598964935506, 'e': 0.11199999999999921}",20,16,6.901638654529723,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.13065731371145892, 'e': 0.10799999999999921}",30,15,26.44729061810147,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.12987336982919015, 'e': 0.1039999999999992}",20,13,0.699459067891834,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.12909412961021502, 'e': 0.0999999999999992}",20,14,11.760663769528541,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.12831956483255372, 'e': 0.0959999999999992}",20,0,7.709088884179173,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
227,False,"{'a': 0.1275496474435584, 'e': 0.0919999999999992}",25,18,13.910239396353102,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.12678434955889706, 'e': 0.08799999999999919}",30,19,20.03693292634269,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.12602364346154368, 'e': 0.08399999999999919}",25,13,17.353186433420515,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.12526750160077443, 'e': 0.07999999999999918}",20,2,31.964956843003495,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.12451589659116978, 'e': 0.07599999999999918}",25,4,23.979675184084265,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
232,False,"{'a': 0.12376880121162276, 'e': 0.07199999999999918}",25,13,24.39322883425416,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.12302618840435302, 'e': 0.06799999999999917}",25,13,-24.640273039208132,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
234,False,"{'a': 0.1222880312739269, 'e': 0.06399999999999917}",25,20,8.538207043115152,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.12155430308628334, 'e': 0.059999999999999165}",25,14,21.569010168918883,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.12082497726776564, 'e': 0.05599999999999916}",35,28,12.406534706369015,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.12010002740415905, 'e': 0.05199999999999916}",25,13,16.762694311290335,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.11937942723973409, 'e': 0.047999999999999154}",20,14,13.54707178869095,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,10,19.82088211613357,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,14,11.911334077374207,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,11,25.976133429944685,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,14,32.08412260747655,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
