trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-53.43300879797579,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-110.3734005689479,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-68.43535669260164,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-90.4651218781207,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-68.01880490853648,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-55.383224659764785,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-31.13348806542406,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-66.21508949330955,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-23.521434889895367,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-156.2397191362954,"{0: 11, 1: 8, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-32.94506999708046,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-133.73476944222992,"{0: 19, 1: 7, 2: 0, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-81.34021445891351,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,1,14.135175314038946,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-21.88120055615631,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,5,-9.752364975717247,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-6.342264863689082,"{0: 26, 1: 9, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,33.64017494085827,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-7.976214655546329,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-7.572402557879096,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-19.662650854850014,"{0: 22, 1: 6, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,13,-11.19942768183744,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,21.671157908745283,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,2,38.236648075891374,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-37.601062379843,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-4.6052209519203435,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,11,-9.538347786245698,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-2.4841986345215528,"{0: 23, 1: 7, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,4.753211635082909,"{0: 25, 1: 5, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-27.20228023234325,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
